品編,品名,處方組成,註冊編號
65,柴胡疏肝湯,陳皮（9克）﹑柴胡（9克）﹑川芎（6克）﹑香附子（6克）﹑枳殼（6克）﹑白芍（6克）﹑炙甘草（3克）,HKC-11413
66,桃紅四物湯,桃仁（12克）﹑紅花（9克）﹑生地黃（9克）﹑當歸（9克）﹑赤芍（9克）﹑川芎（9克）,HKC-11443
67,桂枝茯苓丸,桂枝（9克）﹑茯苓（9克）﹑牡丹皮（9克）﹑桃仁（9克）﹑赤芍（9克）,HKC-11446
68,逍遙散,"茯苓（12克）﹑當歸（9克）﹑白朮（9克）﹑柴胡（9克）﹑白芍（9克）﹑生薑（6克）﹑炙甘草（4.5克）﹑薄荷
葉（3克）",HKC-11437
71,參苓白朮散,"茯苓（15克）﹑山藥（15克）﹑白朮（15克）﹑白扁豆（12克）﹑蓮子肉（9克）﹑薏苡仁（9克）﹑黨參（9克）﹑
砂仁（6克）﹑生甘草（6克）﹑大棗（6克）﹑桔梗（6克）﹑陳皮（6克）",HKC-11438
74,麻杏石甘湯,石膏（1.5両）﹑麻黃（9克）﹑杏仁（9克）﹑炙甘草（6克）,HKC-11436
75,補中益氣湯,"黃芪（18克）﹑黨參（12克）﹑白朮（9克）﹑炙甘草（9克）﹑當歸（9克）﹑陳皮（6克）﹑柴胡（6克）﹑升麻
（6克）",HKC-11417
76,補陽還五湯,炙黃耆（30克）﹑當歸尾（9克）﹑赤芍（9克）﹑地龍（9克）﹑川芎（9克）﹑桃仁（9克）﹑紅花（6克）,HKC-11416
78,溫膽湯,"茯苓（12克）﹑法半夏（9克）﹑竹茹（9克）﹑枳實（9克）﹑陳皮（6克）﹑生薑（6克）﹑大棗（6克）﹑炙甘草
（3克）",HKC-11424
83,黃連解毒湯,黃連（9克）﹑山梔子（9克）﹑黃芩（6克）﹑黃柏（6克）,HKC-11426
84,萆薢滲濕湯,"滑石（30克）﹑薏苡仁（15克）﹑萆薢（12克）﹑赤茯苓（12克）﹑黃柏（9克）﹑牡丹皮（9克）﹑澤瀉（9克）﹑
通草（6克）",HKC-11445
86,葛根湯,葛根（15克）﹑麻黃（9克）﹑桂枝（9克）﹑白芍（9克）﹑大棗（9克）﹑炙甘草（6克）﹑生薑（6克）,HKC-11444
